ID,gakku,fiscal year,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_65_over
128,Ishiyama,2025,9979,888,625,5450,3016,0.3022346928549955
129,Nango,2025,9304,836,689,4507,3272,0.351676698194325
130,Oishi,2025,4493,287,279,2479,1448,0.32227910082350325
131,Tanoue,2025,9388,567,490,4577,3754,0.3998721772475501
132,Kamitanoue,2025,1757,80,65,795,817,0.4649971542401821
133,Aoyama,2025,10384,1044,1205,6060,2075,0.19982665639445302
134,Seta,2025,15050,1819,1467,9042,2722,0.18086378737541528
135,Seta Minami,2025,15018,1340,1001,8073,4604,0.30656545478758823
136,Seta Higashi,2025,15441,1561,1052,8879,3949,0.25574768473544457
137,Seta Kita,2025,19772,2397,1408,12730,3237,0.1637163665790006
