kouji_No,gakku,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,area,ID
1023,Karasaki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171000,158000,146000,133000,119000,109000,103000,103000,108000,113000,111000,104000,102000,101000,100000,101000,101000,101000,101000,101000,102000,103000,103000,104000,105000,107000,109000,3021222.664,117
1024,Shiga,0,0,118000,122000,126000,131000,146000,223000,272000,220000,190000,180000,180000,162000,157000,153000,148000,138000,129000,122000,109000,98800,97000,97000,99500,102000,101000,96800,94600,93500,92900,93300,93500,93700,93700,93700,93700,93700,93700,94500,95100,96400,98200,7041475.135,118
1025,Shiga,0,0,0,0,122000,126000,141000,215000,266000,215000,182000,172000,172000,153000,151000,150000,145000,138000,130000,123000,112000,103000,98000,98000,100000,104000,103000,98800,96600,95300,94900,94900,95400,95600,95600,95600,95600,95600,95600,95600,96000,97500,99500,7041475.135,118
1026,Shiga,0,0,0,0,0,0,0,0,0,0,0,0,195000,180000,173000,164000,155000,143000,132000,122000,110000,96500,90400,88800,90900,94500,93100,87500,84800,84000,83400,83200,83100,82300,81000,78800,76700,74700,72600,71500,70500,69300,68200,7041475.135,118
1027,Shiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93700,94400,96300,98800,101000,103000,106000,109000,113000,115000,119000,123000,128000,135000,7041475.135,118
1028,Yamanaka Hieidaira,0,0,0,0,0,0,0,0,0,0,0,0,137000,126000,112000,95000,86000,77600,66900,56100,45500,39500,35300,34400,35100,37000,35200,33400,31800,31000,30500,30000,29500,29200,28400,28000,27600,26600,25900,25100,24300,23800,23500,4468725.187,119
1029,Fujio,111000,116000,120000,123000,126000,132000,146000,230000,280000,240000,195000,180000,180000,163000,160000,158000,152000,142000,133000,125000,114000,104000,96500,95000,96200,101000,100000,95500,93100,92300,91900,91700,91500,91300,91000,91600,92400,93500,93700,94900,96900,98900,102000,4931691.363,120
1030,Fujio,0,0,0,0,0,0,0,0,0,0,0,175000,175000,159000,153000,150000,146000,138000,129000,119000,106000,93800,85700,83900,87000,90000,88500,83800,81400,80300,79800,79500,79200,77500,75000,72500,70100,67900,65900,63900,62500,61500,61200,4931691.363,120
1031,Fujio,0,0,0,0,0,0,0,0,0,0,0,0,137000,121000,116000,110000,104000,93500,85000,77000,67700,61000,55400,52900,52300,52300,51400,50000,48600,47900,47300,46800,46300,45800,45300,44900,44600,44300,43800,43100,42400,41900,41300,4931691.363,120
1032,Nagara,104000,108000,112000,115000,117000,121000,151000,235000,275000,220000,187000,173000,173000,158000,150000,143000,136000,123000,114000,101000,89000,79000,73300,70500,70800,72000,71200,69100,68100,67700,67600,67600,67600,67600,67600,67600,67800,68100,68100,68500,69900,72500,75100,5511653.047,121
1033,Nagara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,5511653.047,121
1034,Nagara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173000,173000,175000,178000,183000,189000,5511653.047,121
1035,Nagara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119000,119000,120000,121000,123000,5511653.047,121
1036,Ousaka,0,0,0,0,0,0,0,0,0,0,0,0,0,223000,215000,205000,200000,186000,173000,161000,143000,136000,130000,130000,137000,145000,144000,138000,136000,135000,136000,140000,143000,145000,147000,152000,156000,161000,162000,165000,168000,175000,185000,3450556.033,122
1037,Ousaka,0,0,0,0,0,160000,180000,285000,380000,290000,240000,208000,208000,185000,179000,175000,171000,162000,151000,142000,126000,116000,112000,114000,125000,135000,133000,127000,125000,124000,126000,129000,132000,134000,135000,136000,138000,140000,140000,143000,148000,153000,157000,3450556.033,122
1038,Ousaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347000,339000,307000,289000,289000,291000,306000,316000,325000,333000,340000,347000,354000,349000,354000,360000,366000,377000,3450556.033,122
1039,Chuo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155000,145000,135000,120000,113000,111000,111000,115000,120000,118000,113000,112000,112000,114000,118000,122000,125000,128000,132000,137000,142000,143000,146000,150000,155000,160000,775975.767,123
1040,Chuo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220000,227000,232000,239000,246000,253000,260000,775975.767,123
1041,Chuo,0,0,0,0,0,0,0,0,0,0,0,0,743000,595000,530000,455000,375000,303000,268000,230000,191000,166000,158000,158000,176000,198000,191000,177000,169000,166000,168000,175000,180000,184000,190000,196000,203000,210000,210000,212000,218000,227000,237000,775975.767,123
1042,Chuo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390000,330000,284000,250000,220000,182000,162000,156000,154000,169000,190000,180000,166000,156000,152000,154000,162000,168000,173000,177000,182000,188000,194000,193000,196000,201000,209000,217000,775975.767,123
1043,Hirano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112000,113000,114000,114000,115000,116000,119000,123000,2165492.099,124
