memo1,memo2,year,area,ID,gakku
"10/27　22：30頃　比叡平三丁目
",北側の山へ移動,2025,4468725.187,119,Yamanaka Hieidaira
"10/23　16：30頃　若葉台
",,2025,4911474.006,126,Fujimi
"10/8　18：20頃　北大路三丁目
",東側へ移動,2025,4911474.006,126,Fujimi
"9/15　18：00頃　南比良
",,2025,28311196.29,102,Kido
"8/29　20:00頃　秋葉台
",,2025,4911474.006,126,Fujimi
"8/24　14：30頃　葛川坊村町
",牛コバと夫婦滝の間で2頭を目撃,2025,46888073.03,105,Katsuragawa
"7/26　19：00頃　南小松
",湖西道路方向へ移動。,2025,26826973.23,101,Komatsu
"7/20　15：20頃　関津二丁目
",南方向へ移動,2025,25635833.54,131,Tanoue
"7/16　13：00頃　関津三丁目
",熊らしき動物の足跡発見,2025,25635833.54,131,Tanoue
"7/3　18:20頃　石山千町
",,2025,13278862.18,129,Nango
"6/30? 22；00頃　葛川梅ノ木町
",,2025,46888073.03,105,Katsuragawa
"6/29　17：20頃　関津二丁目
",,2025,25635833.54,131,Tanoue
"6/26　22：00頃　葛川梅ノ木町
",東側山林へ移動,2025,46888073.03,105,Katsuragawa
6/24　21:30頃　北比良,北方面に移動,2025,26826973.23,101,Komatsu
"6/9　9：00頃　牧一丁目
",戸塚池A付近で目撃,2025,24437868.98,132,Kamitanoue
"6/8　13：10頃　伊香立下在地町
",山側へ移動,2025,26483298.27,106,Ikadachi
"6/7　21：00頃　葛川梅ノ木町
",南東方向に移動。,2025,46888073.03,105,Katsuragawa
6/6　12：30頃　桐生三丁目,東方面へ移動,2025,,,
6/6　6：30頃　青山三丁目,東方面へ移動,2025,11875791.07,133,Aoyama
6/4　21:50頃　北比良,北側へ移動,2025,26826973.23,101,Komatsu
"6/4　11：05頃　大石富川一丁目
",東側へ移動。,2025,38070164.71,130,Oishi
"5/28　7：10頃　和邇北浜
",ホッケ山と権現山の間の山道,2025,15809492.75,103,Wani
"5/20　11：00頃　北比良
",北側森林へ逃走,2025,26826973.23,101,Komatsu
"5/16　 20:10頃　比叡平二丁目
",移動先不明,2025,4468725.187,119,Yamanaka Hieidaira
"4/2　7：10頃　北大路3丁目
",西側山林へ移動,2025,4911474.006,126,Fujimi
11/22　15：00頃　和邇今宿,,2025,15809492.75,103,Wani
