gakku,fiscal year,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_0_11,rate_65_over
Katsuragawa,2020,218,8,10,75,125,0.036697248,0.573394495
Katsuragawa,2021,219,5,11,81,122,0.02283105,0.557077626
Katsuragawa,2022,221,10,11,83,117,0.045248869,0.529411765
Katsuragawa,2023,238,17,12,91,118,0.071428571,0.495798319
Katsuragawa,2024,240,21,12,92,115,0.0875,0.479166667
Katsuragawa,2025,236,19,12,91,114,0.080508475,0.483050847
Kido,2018,4711,431,360,2499,1421,0.091488007,0.301634473
Kido,2019,4661,398,351,2457,1455,0.085389401,0.312164772
Kido,2020,4597,386,317,2401,1493,0.083967805,0.324777028
Kido,2021,4553,373,308,2367,1505,0.081924006,0.330551285
Kido,2022,4534,356,308,2366,1504,0.078517865,0.331715924
Kido,2023,4497,350,317,2327,1503,0.077829664,0.334222815
Kido,2024,4493,332,306,2326,1529,0.073892722,0.340307144
Kido,2025,4435,311,292,2295,1537,0.070124014,0.346561443
Komatsu,2018,4216,363,217,2228,1408,0.086100569,0.333965844
Komatsu,2019,4165,341,233,2165,1426,0.081872749,0.342376951
Komatsu,2020,4145,325,255,2110,1455,0.07840772,0.351025332
Komatsu,2021,4112,315,246,2068,1483,0.076605058,0.360651751
Komatsu,2022,4089,286,261,2044,1498,0.069943752,0.366348741
Komatsu,2023,4096,289,251,2024,1532,0.070556641,0.374023438
Komatsu,2024,4046,283,251,1978,1534,0.069945625,0.379139891
Komatsu,2025,4033,270,260,1971,1532,0.066947682,0.379866105
Mano,2018,7602,876,547,4246,1933,0.115232833,0.254275191
Mano,2019,7573,843,568,4200,1962,0.111316519,0.259078305
Mano,2020,7497,826,571,4098,2002,0.110177404,0.267040149
Mano,2021,7490,800,564,4089,2037,0.106809079,0.271962617
Mano,2022,7426,752,568,4063,2043,0.101265823,0.275114463
Mano,2023,7335,687,576,4013,2059,0.093660532,0.28070893
Mano,2024,7264,623,575,3971,2095,0.085765419,0.28840859
Mano,2025,7264,617,570,3963,2114,0.084939427,0.291024229
Mano Kita,2018,6418,398,307,3364,2349,0.062013088,0.36600187
